group,group_abs_coef,group_coef,group_abs_weight,stage_id,is_topk
PP产量,71.72099020416594,-71.72099020416594,0.1264722666197492,1,True
PP石化库存,64.55651494880603,52.269534923779,0.11383848364900259,1,True
乙烯成本,55.352474100242844,9.034357249247524,0.09760814571216063,1,True
丙烯成本,54.82973230041729,27.053602371075055,0.09668634666710248,1,True
排产比例,54.64663851788165,-15.069111683207673,0.0963634804376298,1,True
CTO成本,54.083514723265736,12.515978450052865,0.095370472079967,1,True
PP进口量,51.01131617686002,49.08087519459421,0.08995297975918669,1,False
塑编开工率,47.07282898466703,-1.3809643406235013,0.08300788041195867,1,False
BOPP开工率,44.84198684652715,29.089109011347542,0.07907402979335679,1,False
PP开工率,41.30979661398362,10.17981118538168,0.0728453915164696,1,False
供需,10.973334565429022,10.973334565429022,0.019350297464047515,1,False
价差,8.977626156637765,8.977626156637765,0.015831079934375672,1,False
比值,7.132310344067518,6.3957290555286885,0.012577063602745782,1,False
指数,0.5796113277056372,0.5796113277056372,0.0010220823522477836,1,False
排产比例,89.58356147337399,-24.159062072360406,0.12140291640087476,2,True
丙烯成本,85.4905936356943,37.7758502495643,0.11585615956226676,2,True
CTO成本,84.26280256185565,45.195182357096094,0.11419226705070061,2,True
塑编开工率,74.24682607205419,-47.9526743806062,0.10061869689490921,2,True
PP产量,66.03746816477879,-30.678763609916075,0.08949344159884647,2,True
PP开工率,65.02458561339073,-46.14641648222002,0.08812079137499242,2,True
乙烯成本,61.74126827261388,40.694267221928925,0.08367126632727094,2,False
PP石化库存,60.33546005861056,1.6832399360858288,0.08176612643024826,2,False
PP进口量,53.25640342266048,38.11159616622149,0.07217264625557648,2,False
BOPP开工率,46.80090508262562,8.521615127650373,0.06342420722935876,2,False
比值,18.660231338624126,11.27162666091063,0.025288194262038707,2,False
价差,17.955449936314807,13.094771512797392,0.024333080218142605,2,False
指数,7.97986509524784,-7.97986509524784,0.01081424849732696,2,False
供需,6.527457795825233,6.527457795825233,0.008845957897446861,2,False
MTO成本,0.0,0.0,0.0,2,False
CTO成本,181.57418638197734,181.57418638197734,0.12922811657939126,3,True
排产比例,175.44840162972375,-80.89390261821796,0.12486833591960547,3,True
PP石化库存,164.73788106543273,-120.66931627257217,0.11724555413719705,3,True
乙烯成本,140.0832720968845,-69.62801795148293,0.09969862885287098,3,True
PP开工率,132.0816529686332,-4.576749408255278,0.09400379860120595,3,True
丙烯成本,126.84812508638979,-37.822123192716035,0.09027904584441664,3,True
塑编开工率,102.2405132854949,-43.73260898312364,0.072765568901958,3,False
PP产量,85.91562183940292,50.821034013083995,0.06114698469140592,3,False
MTO成本,78.38065605363686,26.63851271128512,0.05578427616776001,3,False
PP进口量,69.30558928333043,-1.0664535173200433,0.0493254627762364,3,False
BOPP开工率,56.59154327341179,-16.791473102694447,0.040276752424264296,3,False
价差,37.746057767307974,37.746057767307974,0.026864236876185593,3,False
比值,34.36803852022595,26.529355135055148,0.0244600676835945,3,False
供需,19.37030011829107,-18.10198260831376,0.013786031218106978,3,False
指数,0.3753487013264212,0.3753487013264212,0.0002671393258009302,3,False
GDP,0.0,0.0,0.0,3,False
塑编开工率,140.06116840281317,-113.14394379542601,0.10933134717361492,4,True
MTO成本,139.29362604979275,51.40359078899108,0.10873220580969893,4,True
乙烯成本,133.40382109711976,118.25382617521673,0.10413464092138093,4,True
丙烯成本,130.31703968777043,107.41003525275094,0.10172510818819654,4,True
CTO成本,120.21071205074864,-56.70486420038914,0.09383613776096328,4,True
PP石化库存,115.02851019297711,-77.40044645429805,0.08979092582323114,4,True
检修损失,101.23041904898716,4.559814329435827,0.0790201753689857,4,False
PP开工率,79.28147166398041,-28.86994805286788,0.06188688986229861,4,False
BOPP开工率,78.95777608011171,12.674522535259296,0.06163421401600884,4,False
排产比例,75.80361196830603,-15.082636110297393,0.05917208253814907,4,False
PP产量,65.27453740122856,45.73082103810751,0.05095311706729623,4,False
PP进口量,46.198597617293785,-36.63491315162818,0.03606249307091341,4,False
价差,19.270195862089476,14.538959373409252,0.015042259734992656,4,False
比值,18.630125874309464,10.470832704117102,0.014542622934533248,4,False
供需,15.18991956297233,-6.4673633681435785,0.011857207734426244,4,False
指数,2.919011465634774,-2.919011465634774,0.0022785719953102145,4,False
GDP,0.0,0.0,0.0,4,False
PP产量,103.06827066838784,-96.89724377499584,0.09900691283431942,5,True
MTO成本,94.45145964077064,88.50288989758016,0.09072964328483855,5,True
塑编开工率,94.0649126101189,23.083676513680803,0.09035832796226721,5,True
PDH成本,85.52686338586793,-27.08081474295942,0.08215671664349096,5,True
丙烯成本,85.39621157861785,58.39608593630123,0.08203121311065618,5,True
PP开工率,71.33960954391792,-1.8005890317915574,0.06852850501852262,5,True
CTO成本,70.15671269293846,23.5225614892744,0.06739221967428005,5,False
乙烯成本,68.99487309086713,27.501840135633888,0.0662761618277306,5,False
检修损失,61.87617588557171,-42.76909019602963,0.05943797361395701,5,False
PP进口量,58.771456375255624,-52.2488975165426,0.0564555941489724,5,False
排产比例,53.47559980812972,-44.77126175963437,0.05136841837582431,5,False
期货价格,43.99413473442403,1.478605500148051,0.042260566075533974,5,False
PP石化库存,35.69319909477183,-6.756496283474465,0.03428672498953609,5,False
BOPP开工率,35.18484139521149,-5.143755276325405,0.03379839889147862,5,False
价差,27.821158387830568,23.764630262889224,0.026724878428551792,5,False
比值,26.769331469109034,18.858468549447434,0.02571449826612811,5,False
GDP,16.659886029948307,9.995931617968793,0.01600341087805493,5,False
指数,3.915009292878773,3.915009292878773,0.003760740151085938,5,False
