stage_id,regime,start_month,end_month,n_months,y_start,y_end,cum_return,mean_return,vol_return
1,flat_high_vol,2015-01,2015-08,8,8438.095238095239,8166.666666666667,-0.03216704288939054,-0.017217635883933217,0.0549263004439502
2,down_low_vol,2015-09,2016-02,6,7921.428571428572,6342.222222222223,-0.19935878168520182,-0.04059743683174445,0.035660627735621515
3,up_high_vol,2016-03,2017-03,13,7100.652173913043,8259.565217391304,0.16321219728745073,0.022279007416033655,0.059864952811214345
4,up_low_vol,2017-04,2018-10,19,8020.789473684211,10850.0,0.35273466977263035,0.014978438130299648,0.032374287609326056
5,down_low_vol,2018-11,2020-03,17,9821.59090909091,6724.090909090909,-0.31537660534536627,-0.02713862090776325,0.034505418788607634
6,up_low_vol,2020-04,2021-07,16,7368.181818181818,8574.545454545454,0.16372609500308455,0.016043929704528427,0.03874095636521732
