month,stage_id,regime,regime_merged,trend,vol,y,y_return
2015-01,1,flat_low_vol,flat_high_vol,0.0,0.0,8438.095238095239,-0.1119826562517021
2015-02,1,flat_high_vol,flat_high_vol,0.0,0.04806990334826511,8304.411764705883,-0.0158428495551719
2015-03,1,flat_high_vol,flat_high_vol,0.0,0.05805661095288945,8527.272727272728,0.0268364537888178
2015-04,1,flat_high_vol,flat_high_vol,0.0,0.0706149899206909,9216.666666666666,0.0808457711442784
2015-05,1,flat_high_vol,flat_high_vol,0.0,0.06337341650885084,9290.0,0.0079566003616637
2015-06,1,flat_high_vol,flat_high_vol,0.0,0.059917251948695086,8878.57142857143,-0.044287252037521
2015-07,1,flat_high_vol,flat_high_vol,-0.015592796152713806,0.047731724799639406,8306.521739130434,-0.0644303753191788
2015-08,1,flat_high_vol,flat_high_vol,-0.01658697833657996,0.04778295736151793,8166.666666666667,-0.0168367792026518
2015-09,2,down_high_vol,down_low_vol,-0.07104782211392024,0.04682221611756306,7921.428571428572,-0.0300291545189504
2015-10,2,down_low_vol,down_low_vol,-0.20539481615430977,0.02817028773745098,7323.611111111111,-0.0754683899408876
2015-11,2,down_low_vol,down_low_vol,-0.2864831616177149,0.026746415894459804,6628.571428571428,-0.0949039581696513
2015-12,2,down_low_vol,down_low_vol,-0.2813669593200182,0.027291472678966516,6380.434782608696,-0.0374344077961018
2016-01,2,down_low_vol,down_low_vol,-0.24619471342580468,0.02940025653204741,6261.5,-0.0186405451448041
2016-02,2,down_low_vol,down_low_vol,-0.22340136054421766,0.035660627735621515,6342.222222222223,0.0128918345799285
2016-03,3,down_high_vol,up_high_vol,-0.10361469400556722,0.07005459064041347,7100.652173913043,0.1195842600773893
2016-04,3,down_high_vol,up_high_vol,-0.021828181300967198,0.0649175273034941,7163.75,0.0088862015124147
2016-05,3,up_high_vol,up_high_vol,0.02676005747126431,0.055648826241456416,6805.952380952381,-0.0499455758572841
2016-06,3,up_high_vol,up_high_vol,0.14445850571915297,0.05651783972279376,7302.142857142857,0.072905369949274
2016-07,3,up_high_vol,up_high_vol,0.3023655521459563,0.06167218801662091,8154.761904761905,0.116762855000163
2016-08,3,up_high_vol,up_high_vol,0.30320526492184885,0.061612711221569784,8265.217391304348,0.0135449063789273
2016-09,3,up_high_vol,up_high_vol,0.11948134120010567,0.05860955339955663,7949.047619047619,-0.0382530497733022
2016-10,3,up_high_vol,up_high_vol,0.15616820799162445,0.05879842812574042,8282.5,0.0419487210207871
2016-11,3,up_high_vol,up_high_vol,0.28263393070109877,0.048175225366851,8729.545454545454,0.0539747002167768
2016-12,3,up_high_vol,up_high_vol,0.26721830453611717,0.04709001657259796,9253.40909090909,0.0600104139546992
2017-01,3,up_low_vol,up_high_vol,0.09330291970802929,0.040328076385504,8915.625,-0.0365037455483236
2017-02,3,up_low_vol,up_high_vol,0.08285113098369279,0.04057874382485202,8950.0,0.0038555906063792
2017-03,3,up_high_vol,up_high_vol,0.039063497065940034,0.05036182481800357,8259.565217391304,-0.0771435511294632
2017-04,4,down_high_vol,up_low_vol,-0.03159801102514814,0.04923913515150443,8020.789473684211,-0.028908996711392
2017-05,4,down_low_vol,up_low_vol,-0.10320972960910468,0.04193937273374825,7828.571428571428,-0.0239649782285696
2017-06,4,down_low_vol,up_low_vol,-0.16050595603585893,0.025592533292761108,7768.181818181818,-0.00771400132714
2017-07,4,down_low_vol,up_low_vol,-0.08923939712583251,0.03692058823049332,8120.0,0.0452896430661205
2017-08,4,down_low_vol,up_low_vol,-0.04143794024775327,0.045559809598792626,8579.130434782608,0.056543156992932
2017-09,4,up_low_vol,up_low_vol,0.08689410289662969,0.035569300632925134,8977.272727272728,0.046408233971583
2017-10,4,up_low_vol,up_low_vol,0.11507103251419015,0.031432696127601606,8943.75,-0.0037341772151899
2017-11,4,up_low_vol,up_low_vol,0.1515220637027208,0.025971771952515755,9014.772727272728,0.0079410456768948
2017-12,4,up_low_vol,up_low_vol,0.1768703502465936,0.0225609994496262,9142.142857142857,0.0141290450379066
2018-01,4,up_low_vol,up_low_vol,0.16491267353336325,0.021508512607069284,9459.09090909091,0.0346689016897628
2018-02,4,up_low_vol,up_low_vol,0.0744267299459822,0.023713265931264077,9217.64705882353,-0.0255250586539277
2018-03,4,flat_low_vol,up_low_vol,-0.019518987341772265,0.02617669044168644,8802.045454545454,-0.0450876022509718
2018-04,4,flat_low_vol,up_low_vol,-0.008665269042627544,0.026441870464680512,8866.25,0.007294275607426
2018-05,4,up_low_vol,up_low_vol,0.02362284129585257,0.030785669649453024,9227.727272727272,0.0407700293503197
2018-06,4,flat_low_vol,up_low_vol,0.005316821626689672,0.030569160632449507,9190.75,-0.0040071917639524
2018-07,4,flat_low_vol,up_low_vol,-0.014031715521384047,0.02772001691982,9326.363636363636,0.0147554482891642
2018-08,4,up_low_vol,up_low_vol,0.08018229238922325,0.03523383396862691,9956.739130434782,0.0675907050860961
2018-09,4,up_low_vol,up_low_vol,0.1592814047305513,0.023531156320491797,10204.047619047618,0.0248383015134832
2018-10,4,up_low_vol,up_low_vol,0.22374171718595792,0.025592776549010175,10850.0,0.0633035443451478
2018-11,5,up_high_vol,down_low_vol,0.06435643564356441,0.05408925509529451,9821.59090909091,-0.0947842480100543
2018-12,5,flat_high_vol,down_low_vol,0.0072238780450841755,0.060058255935188015,9257.142857142857,-0.0574701244607528
2019-01,5,flat_high_vol,down_low_vol,-0.018910225168145,0.06000373253512148,9150.0,-0.011574074074074
