group,missing_rate
期货价格,0.7341772151898734
PDH成本,0.6329113924050633
检修损失,0.46835443037974683
GDP,0.3037974683544304
MTO成本,0.16455696202531644
CTO成本,0.012658227848101266
PP进口量,0.012658227848101266
BOPP开工率,0.0
PP产量,0.0
PP价格,0.0
PP开工率,0.0
PP石化库存,0.0
丙烯成本,0.0
乙烯成本,0.0
塑编开工率,0.0
排产比例,0.0
