group,group_abs_coef,group_coef,group_abs_weight,stage_id,is_topk
丙烯成本,142.23025336561054,106.54535894749623,0.17690433231440028,1,True
PP产量,123.78612242688311,-123.78612242688311,0.15396373710609657,1,True
PP石化库存,113.9409674841709,102.02159902766068,0.14171844807328218,1,True
乙烯成本,90.84826690463257,84.68763485955368,0.11299601609632177,1,True
排产比例,87.40018325144099,-87.40018325144099,0.10870732981476067,1,True
PP进口量,71.98547312986182,71.98547312986182,0.08953469292949637,1,True
塑编开工率,67.65919378728522,-53.38229998635682,0.08415371707946569,1,False
BOPP开工率,55.19120716011166,55.19120716011166,0.06864618055054388,1,False
PP开工率,37.44954595380575,-7.404635879028486,0.04657930901244738,1,False
CTO成本,13.504095779581064,7.8661588755325225,0.016796237023185338,1,False
CTO成本,119.16966027262806,100.96356977764367,0.1606313389504814,2,True
塑编开工率,111.64055920167876,-106.80881850437673,0.15048270226432078,2,True
丙烯成本,109.55388771201218,109.55388771201218,0.14767003304492277,2,True
排产比例,87.43668424359723,-23.095410496941255,0.1178577805064489,2,True
PP开工率,85.67556189632548,-85.67556189632548,0.11548392595277562,2,True
乙烯成本,57.73088118211574,57.73088118211574,0.07781669194876772,2,True
PP石化库存,54.02570691161254,6.373562606174421,0.07282240814570727,2,False
PP产量,47.82811023301931,-47.82811023301931,0.06446853476484854,2,False
PP进口量,42.026708036640294,42.026708036640294,0.05664870041722416,2,False
BOPP开工率,26.795244282372888,-26.795244282372888,0.03611788400450282,2,False
MTO成本,0.0,0.0,0.0,2,False
PP石化库存,354.4935887785949,-354.4935887785949,0.22095663742016894,3,True
乙烯成本,244.34725031130662,16.518199653179224,0.15230218119789782,3,True
CTO成本,227.34057947350215,227.34057947350215,0.14170188567497968,3,True
PP产量,155.94407536436313,155.94407536436313,0.09720028685660581,3,True
排产比例,154.6280276793626,-10.414072005841556,0.09637999142569482,3,True
塑编开工率,147.67924514011116,-17.448233612639534,0.09204879991013847,3,True
MTO成本,106.39311593922329,-106.39311593922329,0.06631506432480913,3,False
PP开工率,66.44442835114343,-30.374114248785908,0.04141495905288001,3,False
丙烯成本,64.62672614019127,-64.62672614019127,0.04028198124714022,3,False
PP进口量,48.80024507876026,48.80024507876026,0.030417300620400108,3,False
BOPP开工率,33.6608982333689,-33.6608982333689,0.02098091226928501,3,False
GDP,0.0,0.0,0.0,3,False
乙烯成本,248.11295043273586,248.11295043273586,0.15031609042142768,4,True
塑编开工率,234.5074959024128,-201.43337423322674,0.142073398011226,4,True
PP石化库存,212.6758235451734,-164.8021350058554,0.12884695565753898,4,True
排产比例,171.28225353142068,-88.24240998798689,0.10376918522193335,4,True
CTO成本,165.37725560258238,-113.83222085282584,0.100191716971842,4,True
丙烯成本,159.47037299885852,159.47037299885852,0.09661310691532733,4,True
MTO成本,123.11932298129472,103.98994203868762,0.07459028339150926,4,False
GDP,91.98190466346396,91.98190466346396,0.055726072639149714,4,False
PP进口量,82.07220234332247,-82.07220234332247,0.04972240492488564,4,False
PP开工率,76.137700604598,61.5585589368806,0.04612706216503213,4,False
PP产量,56.34507749477335,56.34507749477335,0.03413595198773321,4,False
BOPP开工率,26.80080677888847,-26.80080677888847,0.016236929544049636,4,False
检修损失,2.724893356235398,-2.724893356235398,0.001650842148345135,4,False
丙烯成本,238.07367037285465,210.8094295353525,0.15251166661977275,5,True
CTO成本,159.23961975721699,116.22467910152426,0.10201001968439914,5,True
乙烯成本,136.05083808832094,-72.24721394769018,0.0871551231573424,5,True
PDH成本,131.8775178082336,-67.64829072492262,0.08448166485236727,5,True
检修损失,130.10587705447807,-130.10587705447807,0.08334673933295304,5,True
塑编开工率,125.84497287939232,62.83547029386189,0.0806171741692298,5,True
排产比例,117.46854541903487,-27.462722479733046,0.07525117586165547,5,False
PP产量,113.6501776383277,-113.6501776383277,0.07280510262268342,5,False
MTO成本,91.11186801716997,72.75678819598608,0.05836690306146409,5,False
BOPP开工率,86.12179693255555,86.12179693255555,0.05517022845030786,5,False
PP开工率,70.60751510671268,36.22200165456995,0.0452316704654517,5,False
PP进口量,68.89925656517865,-68.89925656517865,0.044137348036689235,5,False
PP石化库存,61.29332979205043,-26.57596194462583,0.0392649378850709,5,False
GDP,30.674414916361364,30.674414916361364,0.01965024580061291,5,False
排产比例,175.30371789988078,144.2776233422146,0.168848395605378,6,True
PP石化库存,154.94512591198765,41.2089757365425,0.14923948123025058,6,True
PDH成本,126.56304444632612,121.024771167893,0.12190253152473982,6,True
PP开工率,110.30886335318854,-21.828767217994873,0.10624688866482637,6,True
乙烯成本,80.7555332730648,80.7555332730648,0.07778181999084108,6,True
CTO成本,59.106624057661534,-50.17198774558156,0.05693010257481353,6,True
塑编开工率,58.22145609846217,6.37327399899284,0.05607752972842668,6,False
BOPP开工率,57.48778367623613,57.48778367623613,0.05537087380077814,6,False
PP进口量,52.69663521735186,-52.69663521735186,0.050756152903347944,6,False
检修损失,49.14259828441949,-49.14259828441949,0.04733298857325305,6,False
MTO成本,45.41132289083823,-33.1860499420565,0.04373911234908855,6,False
丙烯成本,45.35654371670988,39.55661356559423,0.04368635034395275,6,False
PP产量,14.029035745640273,14.029035745640273,0.013512435480088977,6,False
GDP,8.903184974379498,-8.903184974379498,0.008575337230214608,6,False
