feature,coef_mag,group,rank_in_group,stage_id
MTO成本__min,0.0823110679144908,MTO成本,3.0,4
MTO成本__max,0.07423406209920355,MTO成本,4.0,4
MTO成本__last,0.07045117103391607,MTO成本,5.0,4
PP开工率__max,0.2881869869526205,PP开工率,1.0,4
PP开工率__mean,0.2031001130438406,PP开工率,2.0,4
PP开工率__last,0.16099452667934955,PP开工率,3.0,4
PP开工率__min,0.11540737772899387,PP开工率,4.0,4
PP开工率__range,0.09596123399918285,PP开工率,5.0,4
PP石化库存__last,0.1680019162167626,PP石化库存,1.0,4
PP石化库存__min,0.13228525680120878,PP石化库存,2.0,4
PP石化库存__mean,0.12148403462540389,PP石化库存,3.0,4
PP石化库存__max,0.09230129346499574,PP石化库存,4.0,4
PP石化库存__range,0.03563020228976438,PP石化库存,5.0,4
塑编开工率__max,0.22507764521036946,塑编开工率,1.0,4
塑编开工率__range,0.16922895232723703,塑编开工率,2.0,4
塑编开工率__mean,0.10625571159430715,塑编开工率,3.0,4
塑编开工率__min,0.0800083094162672,塑编开工率,4.0,4
塑编开工率__last,0.02309029390374233,塑编开工率,5.0,4
排产比例__min,0.1692528256730582,排产比例,1.0,4
排产比例__mean,0.13635843746217974,排产比例,2.0,4
排产比例__last,0.12880069975365946,排产比例,3.0,4
排产比例__range,0.12271492552685812,排产比例,4.0,4
排产比例__max,0.10103404667791781,排产比例,5.0,4
检修损失__mean,0.1468062434919259,检修损失,1.0,4
检修损失__min,0.1468062434919259,检修损失,2.0,4
检修损失__max,0.1468062434919259,检修损失,3.0,4
检修损失__last,0.1468062434919259,检修损失,4.0,4
检修损失__range,0.0,检修损失,5.0,4
CTO成本__range,0.21329283364099372,CTO成本,1.0,5
CTO成本__max,0.19803358582407926,CTO成本,2.0,5
CTO成本__last,0.1829670811173139,CTO成本,3.0,5
CTO成本__mean,0.11900747873662168,CTO成本,4.0,5
CTO成本__min,0.09501939940553573,CTO成本,5.0,5
MTO成本__last,0.15834921238398583,MTO成本,1.0,5
MTO成本__min,0.12722676528892873,MTO成本,2.0,5
MTO成本__range,0.11498635290353393,MTO成本,3.0,5
MTO成本__max,0.07307926523696076,MTO成本,4.0,5
MTO成本__mean,0.05515238869270846,MTO成本,5.0,5
PDH成本__mean,0.144296027551654,PDH成本,1.0,5
PDH成本__min,0.1304556044370027,PDH成本,2.0,5
PDH成本__max,0.1088992272324437,PDH成本,3.0,5
PDH成本__range,0.09304327656997888,PDH成本,4.0,5
PDH成本__last,0.07566033240339558,PDH成本,5.0,5
丙烯成本__min,0.14428518794455786,丙烯成本,1.0,5
丙烯成本__range,0.12961818348217,丙烯成本,2.0,5
丙烯成本__last,0.11662810833648772,丙烯成本,3.0,5
丙烯成本__max,0.062368411076372234,丙烯成本,4.0,5
丙烯成本__mean,0.0612867727745025,丙烯成本,5.0,5
乙烯成本__max,0.14638495080781633,乙烯成本,1.0,5
乙烯成本__mean,0.12463118272582112,乙烯成本,2.0,5
乙烯成本__range,0.09754052883672247,乙烯成本,3.0,5
乙烯成本__last,0.0897775882468386,乙烯成本,4.0,5
乙烯成本__min,0.07621233265537683,乙烯成本,5.0,5
