lag,autocorr
1,0.31271743974077454
2,-0.08663651858222203
3,-0.06037992403070553
4,0.02108460346424396
5,-0.01640504493884578
6,-0.11544123911047677
7,-0.20568124783862837
8,-0.15277819561831812
9,0.040335583227721336
10,0.07752957732943083
11,0.12201839474869784
12,-0.10592882416898514
