feature,coef_mag,group,rank_in_group,stage_id
塑编开工率__mean_mom_3,0.04112692362649818,塑编开工率,2.0,3
塑编开工率__mean_roll_std_6,0.040296918495764736,塑编开工率,3.0,3
塑编开工率__last,0.03808467195132693,塑编开工率,4.0,3
塑编开工率__mean_roll_mean_3,0.037893061140563206,塑编开工率,5.0,3
排产比例__last,0.0789823525921528,排产比例,1.0,3
排产比例__last_minus_mean,0.07818789215575248,排产比例,2.0,3
排产比例__mean_mom_1,0.04536307032367476,排产比例,3.0,3
排产比例__mean_mom_12,0.042880710794639426,排产比例,4.0,3
排产比例__mean_mom_3,0.03749141742675356,排产比例,5.0,3
CTO成本__mean_roll_std_3,0.06772844910451467,CTO成本,1.0,4
CTO成本__mean_roll_std_6,0.06575872542961607,CTO成本,2.0,4
CTO成本__mean_mom_1,0.061845494355691435,CTO成本,3.0,4
CTO成本__mean_roll_mean_6,0.04737326345215499,CTO成本,4.0,4
CTO成本__mean_roll_mean_3,0.045825061194439104,CTO成本,5.0,4
MTO成本__mean_mom_12,0.09588798795648246,MTO成本,1.0,4
MTO成本__mean_mom_1,0.08010212167190223,MTO成本,2.0,4
MTO成本__range_over_mean,0.07949555332489747,MTO成本,3.0,4
MTO成本__mean_roll_std_3,0.07257724881993091,MTO成本,4.0,4
MTO成本__range,0.06741994494943623,MTO成本,5.0,4
PP石化库存__mean_mom_12,0.07052050307025065,PP石化库存,1.0,4
PP石化库存__last_minus_mean,0.069578021045454,PP石化库存,2.0,4
PP石化库存__mean_mom_1,0.06061129654886495,PP石化库存,3.0,4
PP石化库存__mean_roll_mean_6,0.03895672754812383,PP石化库存,4.0,4
PP石化库存__mean_roll_mean_12,0.03829536877932422,PP石化库存,5.0,4
乙烯成本__range_over_mean,0.08027158370686112,乙烯成本,1.0,4
乙烯成本__range,0.06874458777551695,乙烯成本,2.0,4
乙烯成本__max_minus_min,0.06874458777551695,乙烯成本,3.0,4
乙烯成本__last_minus_mean,0.06377772074522323,乙烯成本,4.0,4
乙烯成本__mean_mom_1,0.05897794922746537,乙烯成本,5.0,4
塑编开工率__mean_mom_12,0.08257015162924719,塑编开工率,1.0,4
塑编开工率__mean_mom_3,0.07256783117717085,塑编开工率,2.0,4
塑编开工率__max,0.05950775130351291,塑编开工率,3.0,4
塑编开工率__mean_roll_std_6,0.043577104888047766,塑编开工率,4.0,4
塑编开工率__range,0.042301100631716826,塑编开工率,5.0,4
检修损失__mean_mom_1,0.09238155934827086,检修损失,1.0,4
检修损失__mean_mom_3,0.07725108533617155,检修损失,2.0,4
检修损失__mean,0.06175848831677799,检修损失,3.0,4
检修损失__min,0.06175848831677799,检修损失,4.0,4
检修损失__max,0.06175848831677799,检修损失,5.0,4
CTO成本__last_minus_mean,0.07460258469000952,CTO成本,1.0,5
CTO成本__last,0.04717351361528645,CTO成本,2.0,5
CTO成本__range,0.04434236413592822,CTO成本,3.0,5
CTO成本__max_minus_min,0.04434236413592822,CTO成本,4.0,5
CTO成本__max,0.0430784731195237,CTO成本,5.0,5
MTO成本__last_minus_mean,0.07834433481363634,MTO成本,1.0,5
MTO成本__mean_roll_std_3,0.06727707257099017,MTO成本,2.0,5
MTO成本__mean_mom_12,0.06382132216633125,MTO成本,3.0,5
MTO成本__last,0.059620182066861815,MTO成本,4.0,5
MTO成本__mean_mom_1,0.053758881377112544,MTO成本,5.0,5
PDH成本__mean_roll_std_6,0.08285714326184206,PDH成本,1.0,5
PDH成本__last_minus_mean,0.07678696187389897,PDH成本,2.0,5
PDH成本__mean_mom_1,0.06165499436257975,PDH成本,3.0,5
PDH成本__mean_roll_std_12,0.06162005511951038,PDH成本,4.0,5
PDH成本__mean_roll_mean_12,0.05583737197668917,PDH成本,5.0,5
PP石化库存__last_minus_mean,0.11371193538234861,PP石化库存,1.0,5
PP石化库存__range_over_mean,0.05740832788167178,PP石化库存,2.0,5
PP石化库存__range,0.0395938024884019,PP石化库存,3.0,5
PP石化库存__max_minus_min,0.0395938024884019,PP石化库存,4.0,5
PP石化库存__mean_roll_mean_3,0.0355746293001971,PP石化库存,5.0,5
乙烯成本__last_minus_mean,0.06972202829051298,乙烯成本,1.0,5
乙烯成本__mean_mom_1,0.06861849141530975,乙烯成本,2.0,5
乙烯成本__max,0.044215340133342856,乙烯成本,3.0,5
乙烯成本__mean_roll_std_12,0.04337826340387849,乙烯成本,4.0,5
乙烯成本__mean_mom_12,0.042493915266001284,乙烯成本,5.0,5
排产比例__mean_mom_3,0.08150916879645895,排产比例,1.0,5
排产比例__mean,0.07337931846506823,排产比例,2.0,5
排产比例__range,0.06695649641018725,排产比例,3.0,5
排产比例__max_minus_min,0.06695649641018725,排产比例,4.0,5
排产比例__mean_mom_12,0.06516045487106176,排产比例,5.0,5
MTO成本__mean_mom_1,0.09865871724937032,MTO成本,1.0,6
MTO成本__range_over_mean,0.08088226514192907,MTO成本,2.0,6
MTO成本__range,0.06917121136582237,MTO成本,3.0,6
MTO成本__max_minus_min,0.06917121136582237,MTO成本,4.0,6
MTO成本__mean_roll_std_3,0.057534455310370096,MTO成本,5.0,6
PDH成本__mean_mom_1,0.06968793219382217,PDH成本,1.0,6
PDH成本__mean_roll_std_3,0.045583913197665,PDH成本,2.0,6
PDH成本__last_minus_mean,0.04155586680767137,PDH成本,3.0,6
PDH成本__range_over_mean,0.03775205328639415,PDH成本,4.0,6
PDH成本__range,0.03648427521187089,PDH成本,5.0,6
PP产量__mean_mom_12,0.06344223185108977,PP产量,1.0,6
PP产量__mean_mom_1,0.062490151852959974,PP产量,2.0,6
PP产量__mean_roll_std_3,0.05009979363212111,PP产量,3.0,6
PP产量__mean_roll_mean_3,0.03743741119128987,PP产量,4.0,6
PP产量__mean,0.035299479215008235,PP产量,5.0,6
PP开工率__mean_mom_3,0.05031983980861194,PP开工率,1.0,6
PP开工率__mean_mom_12,0.049843602331720464,PP开工率,2.0,6
PP开工率__last,0.03810309243498018,PP开工率,3.0,6
PP开工率__range,0.03588951147855948,PP开工率,4.0,6
PP开工率__max_minus_min,0.03588951147855948,PP开工率,5.0,6
PP石化库存__range_over_mean,0.07455840809673847,PP石化库存,1.0,6
PP石化库存__range,0.07143640390247645,PP石化库存,2.0,6
PP石化库存__max_minus_min,0.07143640390247645,PP石化库存,3.0,6
PP石化库存__mean_roll_std_3,0.043205304458519514,PP石化库存,4.0,6
PP石化库存__mean_mom_12,0.03656610712382938,PP石化库存,5.0,6
丙烯成本__mean_mom_1,0.04628983363216231,丙烯成本,1.0,6
丙烯成本__mean_mom_3,0.04372777335131049,丙烯成本,2.0,6
丙烯成本__mean_roll_std_3,0.040955009002480364,丙烯成本,3.0,6
丙烯成本__mean_roll_std_6,0.0312826207792025,丙烯成本,4.0,6
丙烯成本__mean_roll_std_12,0.030891862923152102,丙烯成本,5.0,6
