group,group_abs_coef,group_coef,group_abs_weight,stage_id,is_topk
塑编开工率,74.24682607205419,-47.9526743806062,0.10061869689490921,2,True
PP产量,66.03746816477879,-30.678763609916075,0.08949344159884647,2,True
PP开工率,65.02458561339073,-46.14641648222002,0.08812079137499242,2,True
乙烯成本,61.74126827261388,40.694267221928925,0.08367126632727094,2,False
PP石化库存,60.33546005861056,1.6832399360858288,0.08176612643024826,2,False
PP进口量,53.25640342266048,38.11159616622149,0.07217264625557648,2,False
BOPP开工率,46.80090508262562,8.521615127650373,0.06342420722935876,2,False
比值,18.660231338624126,11.27162666091063,0.025288194262038707,2,False
价差,17.955449936314807,13.094771512797392,0.024333080218142605,2,False
指数,7.97986509524784,-7.97986509524784,0.01081424849732696,2,False
供需,6.527457795825233,6.527457795825233,0.008845957897446861,2,False
MTO成本,0.0,0.0,0.0,2,False
CTO成本,181.57418638197734,181.57418638197734,0.12922811657939126,3,True
排产比例,175.44840162972375,-80.89390261821796,0.12486833591960547,3,True
PP石化库存,164.73788106543273,-120.66931627257217,0.11724555413719705,3,True
乙烯成本,140.0832720968845,-69.62801795148293,0.09969862885287098,3,True
PP开工率,132.0816529686332,-4.576749408255278,0.09400379860120595,3,True
丙烯成本,126.84812508638979,-37.822123192716035,0.09027904584441664,3,True
塑编开工率,102.2405132854949,-43.73260898312364,0.072765568901958,3,False
PP产量,85.91562183940292,50.821034013083995,0.06114698469140592,3,False
MTO成本,78.38065605363686,26.63851271128512,0.05578427616776001,3,False
PP进口量,69.30558928333043,-1.0664535173200433,0.0493254627762364,3,False
BOPP开工率,56.59154327341179,-16.791473102694447,0.040276752424264296,3,False
价差,37.746057767307974,37.746057767307974,0.026864236876185593,3,False
比值,34.36803852022595,26.529355135055148,0.0244600676835945,3,False
供需,19.37030011829107,-18.10198260831376,0.013786031218106978,3,False
指数,0.3753487013264212,0.3753487013264212,0.0002671393258009302,3,False
GDP,0.0,0.0,0.0,3,False
塑编开工率,140.06116840281317,-113.14394379542601,0.10933134717361492,4,True
MTO成本,139.29362604979275,51.40359078899108,0.10873220580969893,4,True
乙烯成本,133.40382109711976,118.25382617521673,0.10413464092138093,4,True
丙烯成本,130.31703968777043,107.41003525275094,0.10172510818819654,4,True
CTO成本,120.21071205074864,-56.70486420038914,0.09383613776096328,4,True
PP石化库存,115.02851019297711,-77.40044645429805,0.08979092582323114,4,True
检修损失,101.23041904898716,4.559814329435827,0.0790201753689857,4,False
PP开工率,79.28147166398041,-28.86994805286788,0.06188688986229861,4,False
BOPP开工率,78.95777608011171,12.674522535259296,0.06163421401600884,4,False
排产比例,75.80361196830603,-15.082636110297393,0.05917208253814907,4,False
PP产量,65.27453740122856,45.73082103810751,0.05095311706729623,4,False
PP进口量,46.198597617293785,-36.63491315162818,0.03606249307091341,4,False
价差,19.270195862089476,14.538959373409252,0.015042259734992656,4,False
比值,18.630125874309464,10.470832704117102,0.014542622934533248,4,False
供需,15.18991956297233,-6.4673633681435785,0.011857207734426244,4,False
指数,2.919011465634774,-2.919011465634774,0.0022785719953102145,4,False
GDP,0.0,0.0,0.0,4,False
PP产量,125.38031608096776,-121.91355826499858,0.10621270100971114,5,True
塑编开工率,113.08776974834853,31.788652114524268,0.09579938742840413,5,True
丙烯成本,110.64062024570786,76.7470323202585,0.09372634784312994,5,True
MTO成本,107.43976424320816,100.24719787572917,0.09101482523579264,5,True
PDH成本,89.22056336668896,-26.571660563224157,0.07558089911549198,5,True
CTO成本,88.85960477930567,41.786935863097995,0.07527512235788777,5,True
PP开工率,82.45812349831287,-1.8087883612024616,0.06985227259510464,5,False
乙烯成本,79.12644797020653,49.16264307067013,0.06702992960069384,5,False
PP进口量,75.73668715622539,-65.70297002499873,0.06415838115446636,5,False
检修损失,69.0473605532719,-53.40973722629343,0.058491690651174065,5,False
排产比例,64.28234162447146,-41.3249430651842,0.05445512776307715,5,False
BOPP开工率,45.25854802474704,-0.28019443462800275,0.03833961166904251,5,False
PP石化库存,44.93493934857704,-11.902560928577621,0.038065474925408876,5,False
价差,28.853030010392505,28.0545105491517,0.02444210020765157,5,False
比值,28.53698908865463,25.38323126028885,0.024174374292000655,5,False
GDP,18.55507441460495,11.13304464876278,0.015718452725375875,5,False
指数,5.236835335118536,5.236835335118536,0.004436249987811821,5,False
供需,3.8094194520181306,-0.7672052958978497,0.003227051437775067,5,False
PP石化库存,100.29953162453882,4.190729945367217,0.11321897908083907,6,True
排产比例,93.46754731478227,34.176457212930046,0.10550697608223579,6,True
检修损失,88.69006724541858,-57.342089112159236,0.10011411524558479,6,True
PDH成本,82.80073545585103,40.37267011126908,0.09346618656752069,6,True
PP开工率,75.5405478226781,22.97222297565302,0.08527082395266611,6,True
PP产量,58.242025560846066,33.53561526832031,0.06574410235815939,6,True
丙烯成本,55.84625601696575,16.96994736122571,0.06303973696903194,6,False
乙烯成本,54.76559580013433,8.115303868769958,0.06181987836649189,6,False
BOPP开工率,54.15096562193041,22.691844890841928,0.06112607850360702,6,False
PP进口量,50.75680146692253,-21.721711313408488,0.057294716639413094,6,False
MTO成本,48.16156524853587,-21.92135910309373,0.054365191542334095,6,False
塑编开工率,44.12423414517455,6.125011260275255,0.04980781726221279,6,False
CTO成本,29.859144496022978,-0.8102525365365962,0.033705260645902055,6,False
价差,20.179670145057724,8.55794970752667,0.022778986252539525,6,False
比值,16.444017171695435,-0.8730349059795763,0.018562148855654784,6,False
供需,11.663544572590617,-11.663544572590617,0.013165910025540888,6,False
指数,0.8974874958188658,-0.8974874958188658,0.0010130916502661986,6,False
GDP,0.0,0.0,0.0,6,False
