feature,pearson_corr,spearman_corr,non_na,abs_spearman
BOPP开工率__mean_roll_mean_12,0.2575060366872246,0.3282506966717493,77,0.3282506966717493
PDH成本__range,-0.45949895120147116,-0.3241379310344827,29,0.3241379310344827
PDH成本__max_minus_min,-0.45949895120147116,-0.3241379310344827,29,0.3241379310344827
GDP__mean_mom_12,0.1389334676860054,0.3208431210706771,43,0.3208431210706771
比值__PP价格_div_MTO成本__mean,-0.21514882998574836,-0.3163552865045403,66,0.3163552865045403
PP石化库存__mean_roll_mean_3,-0.29299771817526993,-0.3147116041852884,77,0.3147116041852884
丙烯成本__mean_mom_3,0.3873946476453657,0.31204374572795623,76,0.31204374572795623
PDH成本__max,0.14840323292519153,0.30049261083743833,29,0.30049261083743833
PDH成本__mean_roll_mean_3,0.14825742014866578,0.28937728937728935,27,0.28937728937728935
PP开工率__mean,-0.14136426261167662,-0.28762221079042016,79,0.28762221079042016
PP开工率__max_minus_min,-0.2239563892139772,-0.2861478737956162,79,0.2861478737956162
PP开工率__range,-0.2239563892139772,-0.2861478737956162,79,0.2861478737956162
乙烯成本__mean_roll_mean_12,0.28895888067447445,0.2856354172143646,77,0.2856354172143646
PP开工率__mean_roll_mean_6,-0.2520918400040882,-0.28474344566211013,77,0.28474344566211013
PP开工率__mean_roll_mean_12,-0.2444777223551314,-0.28382144171617857,77,0.28382144171617857
PP开工率__mean_roll_mean_3,-0.20310508166300445,-0.28331065849669745,77,0.28331065849669745
排产比例__mean_roll_std_3,-0.2843397310019565,-0.28192859771807144,77,0.28192859771807144
塑编开工率__max_minus_min,-0.25411933216985033,-0.27869066797062997,79,0.27869066797062997
塑编开工率__range,-0.25411933216985033,-0.27869066797062997,79,0.27869066797062997
比值__PP价格_div_丙烯成本__mean,-0.3876556729067822,-0.2727848101265823,79,0.2727848101265823
检修损失__mean_mom_12,-0.5288425620505537,-0.27188786462602804,30,0.27188786462602804
塑编开工率__mean_roll_std_3,-0.2957521155531407,-0.2716171097502545,77,0.2716171097502545
PP价格__mean_roll_std_6,-0.3852991768249292,-0.26460381723539617,77,0.26460381723539617
PP开工率__mean_roll_std_3,-0.2362477767678715,-0.2641717767275149,77,0.2641717767275149
MTO成本__mean_mom_3,0.2389660183611676,0.26406490015360984,63,0.26406490015360984
乙烯成本__last_minus_mean,0.20699969058198792,0.2620740019474197,79,0.2620740019474197
塑编开工率__max,-0.27575524054106243,-0.2607906975110724,79,0.2607906975110724
PP开工率__last,-0.030339097819735202,-0.2604852270891923,79,0.2604852270891923
塑编开工率__range_over_mean,-0.2724936088226751,-0.25462972167916875,79,0.25462972167916875
价差__PP价格_minus_乙烯成本__mean,0.3146949272038714,0.25170399221032136,79,0.25170399221032136
CTO成本__mean_mom_12,0.15008492108758825,0.2502244024632085,66,0.2502244024632085
PP产量__mean_mom_12,-0.2541735652652606,-0.24559023066485758,67,0.24559023066485758
PP开工率__range_over_mean,-0.20893884657631703,-0.2449341659079808,79,0.2449341659079808
供需__库存_div_产量__mean,-0.23931731397118752,-0.24491236611489775,79,0.24491236611489775
PP石化库存__range,-0.22439281157311183,-0.2439090695551421,79,0.2439090695551421
PP石化库存__max_minus_min,-0.22439281157311183,-0.2439090695551421,79,0.2439090695551421
PP石化库存__mean_roll_std_6,-0.2709305518049156,-0.24086439875913557,77,0.24086439875913557
PP进口量__mean_roll_mean_12,-0.03834703120759074,-0.23600084126399914,77,0.23600084126399914
PDH成本__mean_roll_mean_6,0.09579588605741104,0.235042735042735,27,0.235042735042735
检修损失__mean_roll_mean_12,-0.16179107638543916,-0.23433395872420262,40,0.23433395872420262
排产比例__mean_roll_mean_6,-0.34371720856332266,-0.23208370576791626,77,0.23208370576791626
y_return,0.2010732841875411,0.23079357351509253,79,0.23079357351509253
GDP__mean_roll_std_12,0.1180393055910059,0.22671401597651308,53,0.22671401597651308
塑编开工率__last,-0.042342729227242144,-0.21889556298098484,79,0.21889556298098484
排产比例__mean_roll_std_6,-0.18308257899902708,-0.21770334928229662,77,0.21770334928229662
PP开工率__min,0.035477190394537186,-0.21758405211802878,79,0.21758405211802878
CTO成本__max_minus_min,0.14609940274806169,0.2170387804778892,78,0.2170387804778892
CTO成本__range,0.14609940274806169,0.2170387804778892,78,0.2170387804778892
PP价格__range_over_mean,-0.20255255569985958,-0.2144595910418695,79,0.2144595910418695
PP石化库存__max,-0.2766573429516143,-0.21257424777603393,79,0.21257424777603393
价差__PP价格_minus_丙烯成本__mean,-0.2729208384291433,-0.20971275559883154,79,0.20971275559883154
价差__PP价格_minus_PDH成本__mean,0.436302150685849,0.20837438423645313,29,0.20837438423645313
MTO成本__mean_roll_std_12,0.2505272592776418,0.2079212454212454,64,0.2079212454212454
PDH成本__mean_roll_mean_12,-0.2156907452084067,-0.2063492063492063,27,0.2063492063492063
排产比例__mean_roll_mean_3,-0.3423356214659065,-0.20248172879751827,77,0.20248172879751827
PP石化库存__mean,-0.24124038873771078,-0.20163096397273614,79,0.20163096397273614
价差__PP价格_minus_MTO成本__mean,-0.1458549916383921,-0.20150297463730302,66,0.20150297463730302
塑编开工率__mean_roll_mean_3,-0.09238489660403958,-0.20038910533538784,77,0.20038910533538784
y_direction,0.203233816186569,0.19541086034110408,79,0.19541086034110408
排产比例__mean_roll_mean_12,-0.33085072813704397,-0.19522582680477416,77,0.19522582680477416
CTO成本__range_over_mean,0.14989278122385344,0.19289693153391774,78,0.19289693153391774
乙烯成本__range_over_mean,-0.2564341764011078,-0.19074975657254137,79,0.19074975657254137
乙烯成本__mean_mom_1,0.23737243628746177,0.18962050607620226,78,0.18962050607620226
BOPP开工率__mean_roll_std_12,-0.17983722099894608,-0.1878647668121352,77,0.1878647668121352
CTO成本__mean_roll_std_12,0.1190394527379686,0.18414217361585786,76,0.18414217361585786
GDP__mean_mom_1,0.07978528750744333,0.18105518990503758,54,0.18105518990503758
PP石化库存__mean_mom_1,-0.06398418444197053,0.17664613867145512,78,0.17664613867145512
PP石化库存__min,-0.18581490193017244,-0.17329738547950566,79,0.17329738547950566
GDP__mean_mom_3,-0.009679726575833799,0.17121460305255795,52,0.17121460305255795
PDH成本__mean_roll_std_6,-0.30153565348502626,-0.1684981684981685,27,0.1684981684981685
BOPP开工率__mean_roll_mean_6,0.20830513734275033,0.16843682633156315,77,0.16843682633156315
MTO成本__range_over_mean,0.13948771975528915,0.16831228473019522,66,0.16831228473019522
排产比例__range,-0.1754851368330979,-0.16476788631674336,79,0.16476788631674336
排产比例__max_minus_min,-0.1754851368330979,-0.16476788631674336,79,0.16476788631674336
PP进口量__mean_roll_mean_6,-0.05919978198125278,-0.16278458383721542,77,0.16278458383721542
PP石化库存__last,-0.19343342527587354,-0.16051187519693993,79,0.16051187519693993
丙烯成本__mean_mom_1,0.1808206927619231,0.15952402028351392,78,0.15952402028351392
BOPP开工率__mean_roll_std_6,-0.24022437601690383,-0.15836794784163202,77,0.15836794784163202
BOPP开工率__mean_roll_std_3,-0.2590598154716664,-0.1565013933434986,77,0.1565013933434986
BOPP开工率__mean_mom_3,-0.049749077212406026,-0.15097744360902254,76,0.15097744360902254
排产比例__mean,-0.2385983897423668,-0.14929406037000975,79,0.14929406037000975
PP进口量__mean_mom_3,0.05941225102026178,0.14554765291607397,75,0.14554765291607397
排产比例__last,-0.1585525925872891,-0.14490107656717066,79,0.14490107656717066
PP石化库存__mean_roll_std_3,-0.2600635038731512,-0.14464482885535515,77,0.14464482885535515
PP进口量__mean_mom_12,0.03485996157555038,0.1405072539400898,66,0.1405072539400898
塑编开工率__mean,-0.054753222513256074,-0.1384494008482075,79,0.1384494008482075
PP石化库存__range_over_mean,-0.114779782753561,-0.13799902629016556,79,0.13799902629016556
排产比例__max,-0.24400247354927643,-0.1367478715150897,79,0.1367478715150897
丙烯成本__range_over_mean,-0.18178712281800546,-0.13308179162609543,79,0.13308179162609543
供需__进口_div_产量__mean,-0.0586369506450217,-0.13263951238634783,78,0.13263951238634783
乙烯成本__mean_roll_std_6,-0.1773235744292682,-0.13105315736894685,77,0.13105315736894685
PP产量__min,0.09962992089303639,0.12723953261927945,79,0.12723953261927945
PP产量__max,0.09962992089303639,0.12723953261927945,79,0.12723953261927945
PP产量__mean,0.09962992089303639,0.12723953261927945,79,0.12723953261927945
PP产量__last,0.09962992089303639,0.12723953261927945,79,0.12723953261927945
丙烯成本__mean_roll_std_6,-0.3789135319645143,-0.12156264787843733,77,0.12156264787843733
cal_time_index,0.17859574997339112,0.12018013631937684,79,0.12018013631937684
MTO成本__mean_mom_1,0.1436701723477843,0.11883741258741258,65,0.11883741258741258
排产比例__mean_mom_12,0.12579818183439284,0.11772687365312476,67,0.11772687365312476
塑编开工率__mean_mom_1,-0.007037610256634009,0.11750791429568307,78,0.11750791429568307
塑编开工率__min,0.08390466284207948,-0.11727921361756924,79,0.11727921361756924
排产比例__range_over_mean,-0.10089701149478363,-0.11565238558909445,79,0.11565238558909445
PP产量__mean_roll_std_6,-0.17905279954814213,-0.11535832588464166,77,0.11535832588464166
PDH成本__last_minus_mean,0.25386917248789614,0.112807881773399,29,0.112807881773399
GDP__mean_roll_std_6,0.08992781346125325,0.10668990693342287,53,0.10668990693342287
cal_year,0.15599104277455517,0.10552587091986512,79,0.10552587091986512
BOPP开工率__mean_mom_12,0.06072206354841167,-0.10252214861521271,67,0.10252214861521271
CTO成本__mean_mom_3,0.1374468766660776,0.10244665718349928,75,0.10244665718349928
检修损失__mean_roll_mean_6,-0.02447950683970737,-0.0991603734849493,40,0.0991603734849493
PP产量__mean_roll_mean_12,0.16801342015178616,0.09824386140175612,77,0.09824386140175612
PDH成本__mean_mom_3,0.17172862311220333,0.09743589743589742,26,0.09743589743589742
cal_month_cos,0.0291365890712825,0.09487524313691245,79,0.09487524313691245
比值__PP价格_div_乙烯成本__mean,-0.031177457459623085,-0.09342745861733204,79,0.09342745861733204
PP产量__mean_roll_std_3,-0.01035734554085104,0.09230243440769756,77,0.09230243440769756
检修损失__mean,-0.017498487981281625,-0.08942035918019971,42,0.08942035918019971
检修损失__last,-0.017498487981281625,-0.08942035918019971,42,0.08942035918019971
检修损失__max,-0.017498487981281625,-0.08942035918019971,42,0.08942035918019971
检修损失__min,-0.017498487981281625,-0.08942035918019971,42,0.08942035918019971
CTO成本__last_minus_mean,-0.04002081582908539,-0.08930366661154628,78,0.08930366661154628
MTO成本__last_minus_mean,0.062572701394231,0.0889468740215009,66,0.0889468740215009
供需__检修损失_div_产量__mean,0.13345685168044985,0.08532533830321692,42,0.08532533830321692
PP产量__mean_mom_3,0.0384104812502007,0.08109364319890636,76,0.08109364319890636
cal_month,0.1453489135223791,0.07985245085966061,79,0.07985245085966061
PDH成本__mean_roll_std_3,-0.3203449148884029,-0.07814407814407814,27,0.07814407814407814
排产比例__min,-0.1155811557735985,-0.07796001585935966,79,0.07796001585935966
PP石化库存__last_minus_mean,0.1041492623402381,0.07609542356377799,79,0.07609542356377799
CTO成本__mean_mom_1,-0.0020265426859646073,-0.07334770492665228,77,0.07334770492665228
PDH成本__mean_roll_std_12,0.04483986578676911,0.07264957264957266,27,0.07264957264957266
检修损失__mean_roll_std_3,-0.11328819595614127,0.07186078154159996,40,0.07186078154159996
乙烯成本__mean_roll_std_12,-0.09694667948808731,-0.07169146642830852,77,0.07169146642830852
PP石化库存__mean_mom_12,0.023981533163012474,0.07067603160667253,67,0.07067603160667253
PP价格__last_minus_mean,0.11450817245547114,0.06713729308666018,79,0.06713729308666018
PP开工率__mean_mom_12,-0.02283400332023681,-0.06604940740383858,67,0.06604940740383858
PP价格__mean_roll_std_3,-0.13293012647093844,-0.06543456543456544,77,0.06543456543456544
PP开工率__mean_mom_1,0.01651011489066563,0.06466544888398637,78,0.06466544888398637
cal_month_sin,-0.16963710316488642,-0.06444014001823413,79,0.06444014001823413
PP产量__mean_roll_mean_3,0.08948648911536052,0.06409380093590619,77,0.06409380093590619
BOPP开工率__mean_roll_mean_3,0.1341194629062046,0.06175484719560803,77,0.06175484719560803
排产比例__mean_roll_std_12,0.018424593807706485,0.06025553393974446,77,0.06025553393974446
排产比例__mean_mom_1,0.06213122993510759,0.05990212319326243,78,0.05990212319326243
塑编开工率__mean_mom_3,-0.048655190585572335,-0.058552123432476566,76,0.058552123432476566
塑编开工率__mean_roll_mean_6,-0.06646008762776605,-0.05757816777131994,77,0.05757816777131994
PP产量__mean_roll_mean_6,0.10654231135456145,0.057179662442820335,77,0.057179662442820335
塑编开工率__mean_roll_mean_12,0.040335389725299445,0.053460049557187805,77,0.053460049557187805
丙烯成本__mean_roll_std_3,-0.00790783680117865,0.049897470950102524,77,0.049897470950102524
PDH成本__mean_mom_1,0.23380126912098181,0.04980842911877395,28,0.04980842911877395
BOPP开工率__mean,0.11450041003181274,-0.04608306154738999,79,0.04608306154738999
BOPP开工率__min,0.11450041003181274,-0.04608306154738999,79,0.04608306154738999
BOPP开工率__max,0.11450041003181274,-0.04608306154738999,79,0.04608306154738999
BOPP开工率__last,0.11450041003181274,-0.04608306154738999,79,0.04608306154738999
检修损失__mean_roll_mean_3,0.08535343316608988,-0.04446737656751747,40,0.04446737656751747
丙烯成本__max_minus_min,-0.03935050599096673,0.042284701895449944,79,0.042284701895449944
丙烯成本__range,-0.03935050599096673,0.042284701895449944,79,0.042284701895449944
检修损失__mean_mom_3,-0.12205635763284971,-0.03846153846153847,39,0.03846153846153847
检修损失__mean_mom_1,-0.18547259219881215,0.037979094076655055,41,0.037979094076655055
GDP__mean_roll_std_3,-0.008212857362516281,0.034950636665431266,53,0.034950636665431266
PP开工率__mean_mom_3,-0.024624220564924287,-0.03465505574281738,76,0.03465505574281738
PP进口量__last,-0.011760593881888182,0.03402947703931904,78,0.03402947703931904
PP进口量__min,-0.011760593881888182,0.03402947703931904,78,0.03402947703931904
PP进口量__mean,-0.011760593881888182,0.03402947703931904,78,0.03402947703931904
PP进口量__max,-0.011760593881888182,0.03402947703931904,78,0.03402947703931904
PP石化库存__mean_roll_std_12,-0.0629241602825391,0.029654555970345442,77,0.029654555970345442
PP价格__range,-0.050316360545367554,-0.022248430806271167,79,0.022248430806271167
PP价格__max_minus_min,-0.050316360545367554,-0.022248430806271167,79,0.022248430806271167
PP进口量__mean_mom_1,0.059239075273176775,0.021425942478574055,77,0.021425942478574055
塑编开工率__mean_mom_12,0.07391422625512423,-0.02141139615742627,67,0.02141139615742627
PP进口量__mean_roll_std_12,0.027910684959478696,-0.01693043798306956,77,0.01693043798306956
比值__PP价格_div_PDH成本__mean,0.2709356344403356,0.015270935960591127,29,0.015270935960591127
PP产量__mean_mom_1,0.08024992091394383,0.012936430657949643,78,0.012936430657949643
乙烯成本__max_minus_min,-0.10054513925835583,0.012341772151898736,79,0.012341772151898736
乙烯成本__range,-0.10054513925835583,0.012341772151898736,79,0.012341772151898736
PP石化库存__mean_mom_3,-0.11189696520246652,0.010498974709501025,76,0.010498974709501025
PP进口量__mean_roll_std_3,-0.01422887164060332,0.009706083390293916,76,0.009706083390293916
PP开工率__last_minus_mean,0.1381220858089367,-0.00692862058340684,79,0.00692862058340684
PP进口量__mean_roll_std_6,0.021043021671086,-0.006598664493401335,77,0.006598664493401335
BOPP开工率__mean_mom_1,-0.014708006979614295,0.004223651182137703,78,0.004223651182137703
PP进口量__mean_roll_mean_3,-0.04606467178255459,-0.0034723171565276827,76,0.0034723171565276827
排产比例__last_minus_mean,0.007493265864994967,0.0032375851996105163,79,0.0032375851996105163
塑编开工率__last_minus_mean,-0.0006013419424086571,-0.003158992321498468,79,0.003158992321498468
排产比例__mean_mom_3,0.011857346531017731,0.003007518796992481,76,0.003007518796992481
乙烯成本__mean_roll_std_3,-0.13536992369643766,0.0020768704979231296,77,0.0020768704979231296
丙烯成本__last_minus_mean,0.06360063110456025,0.001594459557353999,79,0.001594459557353999
