model,cv_n_splits,cv_test_size,cv_Strength_F1_macro_mean,cv_Strength_F1_macro_std
nb,3,2,0.2222222222222222,0.15713484026367722
logreg,3,2,0.1111111111111111,0.15713484026367722
svc_rbf,3,2,0.1111111111111111,0.15713484026367722
rf_clf,3,2,0.1111111111111111,0.15713484026367722
extra_trees_clf,3,2,0.1111111111111111,0.15713484026367722
gbr_clf,3,2,0.1111111111111111,0.15713484026367722
ada_clf,3,2,0.1111111111111111,0.15713484026367722
bagging_tree_clf,3,2,0.1111111111111111,0.15713484026367722
