model,cv_n_splits,cv_test_size,cv_Strength_F1_macro_mean,cv_Strength_F1_macro_std
knn_clf,3,6,0.20714285714285716,0.0981114179906501
gbr_clf,3,6,0.17269841269841268,0.08525568084386027
svc_rbf,3,6,0.15880952380952382,0.08844140481792337
logreg,3,6,0.11428571428571428,0.0841120082507414
ada_clf,3,6,0.10833333333333334,0.08249579113843056
bagging_tree_clf,3,6,0.0992063492063492,0.03124606299211036
nb,3,6,0.08928571428571429,0.02525381361380527
extra_trees_clf,3,6,0.08928571428571429,0.02525381361380527
rf_clf,3,6,0.06547619047619048,0.05120431706572992
